hour,quarter,record_count
6,1,2072
6,2,3110
6,3,3618
6,4,4059
7,1,5739
7,2,7031
7,3,7558
7,4,7099
8,1,8693
8,2,8119
8,3,6898
8,4,5433
9,1,4737
9,2,3916
9,3,3566
9,4,2959
10,1,3204
10,2,2948
10,3,2473
10,4,2224
11,1,2662
11,2,2452
11,3,2650
11,4,2429
12,1,2857
12,2,2845
12,3,2524
12,4,2340
13,1,2597
13,2,2503
13,3,2662
13,4,2461
14,1,2966
14,2,2921
14,3,3130
14,4,2804
15,1,3937
15,2,3621
15,3,4217
15,4,3560
16,1,4336
16,2,3998
16,3,4318
16,4,3959
17,1,6490
17,2,5022
17,3,5773
17,4,5318
18,1,5491
18,2,4937
18,3,3911
18,4,3105
19,1,3364
19,2,2703
19,3,2286
19,4,1919
20,1,2549
20,2,2196
20,3,2160
20,4,1898
21,1,2369
21,2,1553
21,3,1174
21,4,768
22,1,533
22,2,398
22,3,202
22,4,87
